Comment,Designator,Footprint,LCSC Part #
"100n","C1, C2, C3, C4, C5, C204, C205, C206, C207, C212, C213, C214, C215, C220, C221, C222, C223, C224, C225, C226, C101, C105, C106, C107, C108, C109, C110, C111, C112, C113, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C135, C139, C420, C411, C470, C460, C461, C440, C430, C431, C480, C481, C482","C0603","C14663"
"1N4148WS","D1, D2, D3, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D50, D62, D63, D64, D65, D70, D71, D72, D410, D412, D413, D414","SOD-323","C2128"
"LED-GREEN-0805","D4, D5, D6","LED-0805","C2297"
"LED-WHITE-0603","D7, D8, D39, D51, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D66, D67, D68, D69","LED-0603","C2290"
"LED-GREEN-0603","D9, D104, D601","LED-0603","C72043"
"LED-BLUE-0603","D10, D11, D12, D13, D14, D15, D16, D17, D105, D602","LED-0603","C72041"
"LED-RED-0603","D29, D30, D31, D32, D33, D34, D35, D36, D37, D38, D103, D600, D603","LED-0603","C2286"
"USB-Mini-V","J2","USB-B-VERTICAL","C13453"
"USB-Adapter","J3","USB-B-VERTICAL",""
"GZ2012D101TF","L1","L0805","C1015"
"XH-8A","P8","CONN-XH-8A","C146110"
"AUIPS2041LTR","Q1, Q2, Q305, Q306, Q307, Q308, Q309, Q310, Q311, Q312","SOT-223","C113610"
"0","R1, R2, R3, R4, R6, R8, R9, R10, R11, R25, R26","R0805","C17477"
"1k","R12, R440","R0603","C21190"
"4k7","R13, R17, R18, R20, R21, R22, R23, R200, R201, R202, R203, R204, R205, R207","R0603-4","C1980"
"470","R14, R15, R16, R19","R0603-4","C25510"
"2.2k","R24","R0603","C4190"
"3.3k","R27, R216","R0603","C22978"
"Switch SPST","S1, S2","SMD-2_2.9x3.9x1.7","C115357"
"Abs. Pressure Sensor","U1","867B",""
"QMA7981","U2","LGA12","C457290"
