Designator,Mid X,Mid Y,Layer,Rotation
J3,22.0mm,11.75mm,Top,360
C5,19.225mm,21.225mm,Top,0
L1,14.575mm,22.075mm,Top,270
R4,65.7mm,38.5mm,Top,90
R3,68.2mm,38.5mm,Top,90
R2,70.7mm,38.5mm,Top,90
R11,45.2mm,38.5mm,Top,90
R8,54.2mm,38.5mm,Top,90
R6,59.95mm,38.5mm,Top,90
R1,73.95mm,38.5mm,Top,90
R10,50.95mm,38.5mm,Top,90
R9,48.45mm,38.5mm,Top,90
D60,83.55mm,38.75mm,Top,90
D59,80.85mm,38.75mm,Top,90
D8,146.5474mm,38.75mm,Top,90
D61,78.15mm,38.75mm,Top,90
D7,143.65mm,38.75mm,Top,90
D58,128.95mm,38.75mm,Top,90
D57,126.25mm,38.75mm,Top,90
D56,123.55mm,38.75mm,Top,90
D55,120.85mm,38.75mm,Top,90
D69,132.15mm,38.75mm,Top,90
D68,134.85mm,38.75mm,Top,90
D67,137.55mm,38.75mm,Top,90
D66,140.25mm,38.75mm,Top,90
D33,93.875mm,38.75mm,Top,90
D36,85.775mm,38.75mm,Top,90
D52,113.3mm,38.75mm,Top,90
D51,116.0mm,38.75mm,Top,90
D53,110.6mm,38.75mm,Top,90
D34,91.175mm,38.75mm,Top,90
D54,107.9mm,38.75mm,Top,90
D35,88.475mm,38.75mm,Top,90
D9,149.5mm,38.75mm,Top,90
D32,97.55mm,38.75mm,Top,90
D31,100.25mm,38.75mm,Top,90
D30,102.95mm,38.75mm,Top,90
D29,105.65mm,38.75mm,Top,90
R22,75.025mm,42.15mm,Top,180
D39,70.75mm,42.35mm,Top,90
D38,68.25mm,42.35mm,Top,90
D37,65.65mm,42.35mm,Top,90
D1,143.875mm,42.5mm,Top,90
D44,121.0mm,42.6mm,Top,90
D3,149.45mm,42.7mm,Top,90
D49,80.8mm,42.7mm,Top,90
D2,146.5mm,42.7mm,Top,90
D47,128.9mm,42.7mm,Top,90
D46,126.2mm,42.7mm,Top,90
D45,123.5mm,42.7mm,Top,90
D65,132.1mm,42.7mm,Top,90
D64,134.8mm,42.7mm,Top,90
D63,137.5mm,42.7mm,Top,90
D62,140.3mm,42.7mm,Top,90
D41,113.35mm,42.7mm,Top,90
D43,107.85mm,42.7mm,Top,90
D20,100.3mm,42.7mm,Top,90
D18,105.6mm,42.7mm,Top,90
D19,102.9mm,42.7mm,Top,90
D42,110.65mm,42.7mm,Top,90
D40,115.45mm,42.7mm,Top,90
D50,83.5mm,42.75mm,Top,90
D48,78.1mm,42.8mm,Top,90
D25,85.825mm,42.8mm,Top,90
D23,91.125mm,42.8mm,Top,90
D24,88.525mm,42.8mm,Top,90
D21,98.0mm,42.825mm,Top,90
D22,93.65mm,42.825mm,Top,90
R12,60.3mm,45.7mm,Top,90
D28,71.5mm,45.775mm,Top,180
D27,68.2mm,45.775mm,Top,180
D26,64.9mm,45.775mm,Top,180
R17,102.6mm,45.925mm,Top,0
R21,126.15mm,45.95mm,Top,0
R20,112.8mm,46.1mm,Top,0
R13,147.475mm,46.2mm,Top,0
R23,143.125mm,46.25mm,Top,0
R18,89.725mm,46.3mm,Top,0
R19,74.8mm,46.45mm,Top,270
P8,140.825mm,53.625mm,Top,180
Q1,92.675mm,58.375mm,Top,270
Q2,94.25mm,68.275mm,Top,270
R16,32.8744mm,71.7858mm,Top,180
R15,22.2744mm,71.7858mm,Top,180
D17,36.9494mm,80.0608mm,Top,90
D16,34.2494mm,80.0608mm,Top,90
D15,31.5494mm,80.0608mm,Top,90
D14,28.8494mm,80.0608mm,Top,90
D13,26.1494mm,80.0608mm,Top,90
D12,23.4494mm,80.0608mm,Top,90
D11,20.7494mm,80.0608mm,Top,90
D10,18.0494mm,80.0608mm,Top,90
D72,141.0mm,98.0mm,Top,360
R27,51.05mm,103.05mm,Top,180
D4,137.35mm,103.225mm,Top,0
R26,83.175mm,104.175mm,Top,360
R14,128.75mm,104.25mm,Top,90
R24,132.225mm,104.925mm,Top,270
C3,16.45mm,105.35mm,Top,180
R25,83.175mm,105.9mm,Top,360
D71,55.225mm,106.475mm,Top,270
D70,56.9mm,106.475mm,Top,270
C2,92.641mm,106.89mm,Top,90
S1,121.1mm,109.725mm,Top,360
J2,101.725mm,109.9225mm,Top,270
U1,22.8mm,116.87mm,Top,90
D5,137.35mm,111.32mm,Top,0
S2,121.15mm,116.225mm,Top,360
C4,41.95mm,116.45mm,Top,180
C1,117.725mm,117.3mm,Top,90
U2,42.15mm,118.525mm,Top,360
D6,137.35mm,119.25mm,Top,0
C226,69.3mm,51.75mm,Top,270
R211,67.0mm,51.825mm,Top,0
R205,66.875mm,55.35mm,Top,0
D205,67.15mm,58.325mm,Top,0
C223,69.325mm,62.275mm,Top,270
C222,68.225mm,62.275mm,Top,270
C221,67.125mm,62.275mm,Top,270
C220,66.025mm,62.275mm,Top,270
C228,42.575mm,50.4mm,Top,180
R216,64.675mm,51.9mm,Top,90
C224,69.3mm,55.15mm,Top,90
D206,41.4mm,60.625mm,Top,270
C225,40.7mm,54.275mm,Top,180
C219,51.725mm,62.275mm,Top,270
C218,50.625mm,62.275mm,Top,270
C217,49.525mm,62.275mm,Top,270
C216,48.425mm,62.275mm,Top,270
C215,47.325mm,62.275mm,Top,270
C214,46.225mm,62.275mm,Top,270
C213,45.125mm,62.275mm,Top,270
C212,44.025mm,62.275mm,Top,270
C211,56.125mm,62.275mm,Top,270
C210,55.025mm,62.275mm,Top,270
C209,53.925mm,62.275mm,Top,270
C208,52.825mm,62.275mm,Top,270
C203,64.925mm,62.275mm,Top,270
C202,63.825mm,62.275mm,Top,270
C201,62.725mm,62.275mm,Top,270
