Designator,Mid X,Mid Y,Layer,Rotation
BT1,28.40168mm,11.70534mm,Top,0.0
C1,66.55168mm,21.73034mm,Top,270.0
C2,126.00238mm,43.9124mm,Top,270.0
C3,62.811679mm,26.30534mm,Top,0.0
C4,130.591681mm,84.20534mm,Top,180.0
C5,129.90168mm,79.70534mm,Top,270.0
C6,135.591681mm,14.255354mm,Top,180.0
C7,35.130197mm,119.311784mm,Top,270.0
C8,45.266681mm,100.28034mm,Top,0.0
C9,36.630197mm,119.611784mm,Top,90.0
C10,42.60168mm,100.28034mm,Top,180.0
C11,38.130197mm,119.611784mm,Top,90.0
C12,39.630197mm,119.611784mm,Top,90.0
C13,41.130197mm,119.611784mm,Top,90.0
C14,35.9mm,116.3mm,Top,270.0
C15,42.630197mm,119.611784mm,Top,90.0
C16,44.130197mm,119.611784mm,Top,270.0
C17,40.05168mm,99.33034mm,Top,270.0
C18,38.55168mm,99.33034mm,Top,270.0
C19,37.05168mm,99.33034mm,Top,90.0
C20,35.55168mm,99.33034mm,Top,90.0
C21,98.78968mm,110.76134mm,Top,0.0
D1,68.20604mm,5.73034mm,Top,180.0
D2,68.12668mm,9.83034mm,Top,180.0
D3,123.68168mm,50.05534mm,Top,270.0
D4,117.58568mm,50.05534mm,Top,270.0
D5,26.475mm,89.9125mm,Top,270.0
D6,72.211889mm,76.97934mm,Top,270.0
D7,68.911889mm,76.97934mm,Top,270.0
D8,67.011889mm,76.97934mm,Top,270.0
D9,63.73768mm,76.97934mm,Top,270.0
D10,24.66474mm,89.812501mm,Top,90.0
D11,28.375mm,89.9125mm,Top,90.0
D12,73.89768mm,76.97934mm,Top,90.0
D13,70.599386mm,76.97934mm,Top,90.0
D14,65.411889mm,76.97934mm,Top,90.0
D15,62.111889mm,76.97934mm,Top,90.0
D16,89.281678mm,92.2264mm,Top,90.0
D17,86.03168mm,92.21934mm,Top,90.0
D18,84.13168mm,92.21934mm,Top,90.0
D19,80.83168mm,92.21934mm,Top,90.0
D20,90.93168mm,92.124901mm,Top,270.0
D21,87.73168mm,92.11934mm,Top,270.0
D22,82.519177mm,92.117841mm,Top,270.0
D23,79.23168mm,92.11934mm,Top,270.0
D24,45.614183mm,7.206838mm,Top,90.0
D25,121.64968mm,50.05534mm,Top,270.0
D26,114.85168mm,100.30534mm,Top,180.0
D27,114.85168mm,98.40534mm,Top,180.0
D28,119.61768mm,50.05534mm,Top,270.0
D29,114.95168mm,102.00534mm,Top,0.0
D30,114.95168mm,96.792837mm,Top,0.0
D31,53.06968mm,115.07934mm,Top,90.0
D33,38.975182mm,96.917842mm,Top,180.0
D34,42.70168mm,97.80534mm,Top,180.0
D35,115.80768mm,113.55534mm,Top,270.0
D36,81.00968mm,108.98334mm,Top,270.0
F1,147.37767mm,135.39934mm,Top,0.0
F2,147.30368mm,138.44734mm,Top,180.0
F3,147.37767mm,143.78134mm,Top,0.0
F4,53.32368mm,121.68334mm,Top,270.0
F5,50.78368mm,121.68334mm,Top,270.0
F6,147.30368mm,132.60534mm,Top,180.0
G1,146.25168mm,123.00534mm,Top,0.0
G2,145.51264mm,108.18734mm,Top,90.0
G3,131.50168mm,113.50534mm,Top,0.0
G4,20.21mm,45.097322mm,Top,90.0
G5,4.97mm,32.397322mm,Top,90.0
G6,4.97mm,45.097322mm,Top,90.0
G7,20.21mm,32.397322mm,Top,90.0
G9,4.97mm,19.697322mm,Top,90.0
G11,12.59mm,45.097322mm,Top,90.0
G12,12.59mm,32.397322mm,Top,90.0
J1,143.50168mm,115.30534mm,Top,180.0
J2,129.00168mm,105.60534mm,Top,270.0
J3,27.50168mm,101.70534mm,Top,90.0
J4,122.82404mm,8.98922mm,Top,270.0
J5,142.07668mm,101.60534mm,Top,0.0
J25,141.82668mm,87.70534mm,Top,270.0
J27,53.32368mm,100.34734mm,Top,0.0
P1,111.99768mm,88.80534mm,Top,180.0
P2,14.90168mm,139.10534mm,Top,0.0
P3,24.25168mm,124.50534mm,Top,0.0
P4,65.11264mm,43.41022mm,Top,0.0
P5,62.30238mm,35.91022mm,Top,0.0
P6,62.30238mm,43.4124mm,Top,0.0
P7,116.06168mm,117.36534mm,Top,180.0
P8,78.72368mm,123.46134mm,Top,180.0
P9,78.72368mm,120.66734mm,Top,180.0
P10,78.72368mm,117.87334mm,Top,0.0
P11,29.70168mm,76.10534mm,Top,180.0
P12,29.70168mm,79.00534mm,Top,0.0
P13,32.60168mm,76.10534mm,Top,180.0
P15,78.72368mm,115.07934mm,Top,0.0
P16,21.20168mm,124.50534mm,Top,0.0
P17,18.10168mm,124.47734mm,Top,0.0
P18,66.40168mm,64.27934mm,Top,90.0
P19,43.92568mm,124.73134mm,Top,0.0
P20,113.20168mm,92.05534mm,Top,0.0
P21,14.99968mm,124.47734mm,Top,0.0
P23,49.15168mm,74.55534mm,Top,0.0
P48,139.17568mm,120.66734mm,Top,180.0
P49,136.38168mm,123.96934mm,Top,180.0
P50,145.77968mm,127.77934mm,Top,0.0
P51,136.38168mm,120.66734mm,Top,180.0
P52,100.56768mm,116.34934mm,Top,180.0
P53,97.51968mm,116.34934mm,Top,180.0
P56,139.17568mm,123.96934mm,Top,180.0
Q1,120.37968mm,113.80934mm,Top,270.0
Q2,88.62968mm,112.28534mm,Top,270.0
R1,95.48768mm,121.68334mm,Top,90.0
R2,25.1mm,86.0125mm,Top,270.0
R3,88.55168mm,76.98034mm,Top,0.0
R4,113.15168mm,83.75534mm,Top,180.0
R5,109.45768mm,121.68334mm,Top,90.0
