Comment,Designator,Footprint,LCSC Part #
"100n","C1, C2, C3","C0603","C14663"
"1N4148WS","D1, D2, D3, D18, D19, D20, D21, D22, D23, D24, D25, D26, D27, D28, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D50, D62, D63, D64, D65","SMC","C2128"
"0805-Green","D4, D5, D6, D9","LED-0805","C2297"
"0603-White","D7, D8, D10, D11, D12, D13, D14, D15, D16, D17, D29, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D51, D52, D53, D54, D55, D56, D57, D58, D59, D60, D61, D66, D67, D68, D69","LED-0603","C2290"
"0","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11","R0805","C17477"
"1k","R12","R0603","C21190"
"4k7","R13, R17, R18, R20, R21, R22, R23","R0603-4","C1980"
"470","R14, R15, R16, R19","R0603-4","C25510"
"Switch SPST","S1, S2","SMD-2_2.9x3.9x1.7","C115357"
"1n","C200, C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C223","C0603","C1588"
"100n","C224, C225, C226","C0603","C14663"
"2.2u","C227, C228, C229","C0805","C49217"
"SRV05-4-P-T7","D200, D201, D202, D203, D204, D205","SOT23-6","C85364"
"P6SMB6.8CA","D206","SMB","C78395"
"4k7","R200, R201, R202, R203, R204, R205, R207","R0603-4","C1980"
"680k","R206, R209, R211","R0603-4","C145776"
"10k","R208, R210","R0603-4","C29718"
"510","R212, R213, R214, R215","R0603","C23193"
"3.3k","R216","R0603","C22978"
"100n","C101, C105, C106, C107, C108, C109, C110, C111, C112, C113, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C133, C134, C135, C139","C0603","C14663"
"4.7u","C102, C103, C104, C137, C138, C140","C0603","C19666"
"2.2u","C114, C131","C0603","C23630"
"12p","C115, C116","C0603","C38523"
"18p","C132, C136","C0603","C1647"
"B5819W","D101, D107","SOD-123","C8598"
"SRV05-4-P-T7","D102","SOT-23-6","C85364"
"LED-RED","D103","LED-0603","C2286"
"LED-GREEN","D104","LED-0603","C72043"
"LED-BLUE","D105","LED-0603","C72041"
"LED-YELLOW","D106","LED-0603","C72038"
"SDFL2012Q3R3KTF","L101","L0805","C51725"
"4k7","R101, R107, R108, R109, R110, R111, R112, R113, R115, R117, R118, R125, R126","R0603-4","C1980"
"10k","R102, R103, R105, R121, R122, R123, R127, R128","R0603","C25804"
"100","R104, R106","R0603","C22775"
"47","R114","R0603","C23182"
"510","R116, R119, R120, R124","R0603","C23193"
"AMS1117-3.3","U101","SOT-223","C6186"
"LMV324IPWR","U102, U104, U106, U107, U108, U109","TSSOP14","C398929"
"AP2337SA-7","U103, U480","SOT-23","C150497"
"STM32F427IGT6","U105","LQFP176","C117817"
"SN74LVC4245APWR","U110","TSSOP24","C7859"
"XC6206P332MR","U111","SOT-23","C5446"
"32.768 kHz","Y101","SMD2012","C99009"
"8.0 MHz","Y102","SMD5032","C115962"
"10u","C420","C1206","C13585"
"100n","C421, C422","C0603","C14663"
"47u","C423, C424, C425, C426, C427, C428","C1206","C96123"
"P6SMB6.8CA","D420","SMB","C78395"
"B5819W","D421","SOD-123","C8598"
"SMMS0650-470M","L420, L421","SMMS0650","C149588"
"12k","R420","R0603","C22790"
"62k","R421, R422","R0603","C23221"
"MP2359DJ","U420","TSOT23-6","C14259"
"22u","C450, C451","C0603","C59461"
"33k","R450","R0603","C4216"
"100u","C410","TANT-B","C16133"
"100n","C411","C0603","C14663"
"B5819W","D410, D412, D413, D417","SOD-123","C8598"
"PSM712-LF","D411","SOT-23","C32677"
"SM4007PL","D414, D416","SOD-123","C64898"
"ZMM3V3","D415","SOD80","C8056"
"SMD1206P050TF/24","F410, F411","SMD1206","C209741"
"33k","R410","R0603","C4216"
"10k","R411","R0603-4","C29718"
"100n","C470","C0603","C14663"
"10n","C471","C0603","C57112"
"470k","R470","R0603","C23178"
"100k","R471","R0603","C25803"
"LMV321IDBVR","U470","SOT23-5","C7972"
"10u","C300, C302, C304, C305, C306, C307, C308, C309, C310, C311, C312, C313","C0805","C15850"
"100n","C301, C303","C0603","C14663"
"B5819W","D300, D301, D302, D303","SOD-123","C8598"
"PSM712-LF","D304","SOT-23","C32677"
"SM4007PL","D305, D306","SOD-123","C64898"
"AO3401A","Q300, Q301, Q302, Q303, Q304","SOT-23","C15127"
"BSP76E6433HUMA1","Q305, Q306, Q307, Q308, Q309, Q310, Q311, Q312","SOT-223","C152392"
"10k","R300, R301","R0603","C25804"
"4.7k","R302, R303, R307, R308","R0603","C23162"
"10k","R304, R305, R306","R0603-4","C29718"
"0","R310, R312","R0603","C21189"
"RZ7899","U300, U303","SO8","C92373"
"ULN2003AD","U301, U304","SOIC16","C7512"
"NE555D","U302, U305","SO8","C7593"
"10k","R460, R465","R0603-4","C29718"
"10","R461, R462, R463, R464, R466, R467, R468, R469","R0603","C22859"
"100n","C440","C0603","C14663"
"B5819W","D440, D441","SOD-123","C8598"
"1k","R440","R0603","C21190"
"TJA1021T/20/CM","U440","SO8","C128810"
"100n","C430, C431","C0603","C14663"
"PESD1CAN","D430","SOT-23","C343993"
"120","R430","R0603","C22787"
"TJA1051T/3/1J","U430","SO8","C38695"
"100n","C480, C481, C482","C0603","C14663"
"B5819W","D480","SOD-123","C8598"
"10k","R480","R0603","C25804"
